measure_id,trial_id,trial_number,blind_id,condition,condition_label,claim_weighted_preservation,component_weighted_preservation,mean_component_distortion_severity,any_distortion_rate,material_distortion_rate,n_claims,n_components
M10,M10-trial04,4,M10-B010,critic_debate,Critic debate,0.8863636363636364,0.9032258064516129,0.06451612903225806,0.06451612903225806,0.0,11,31
M10,M10-trial01,1,M10-B011,critic_debate,Critic debate,0.9090909090909091,0.9354838709677419,0.03225806451612903,0.03225806451612903,0.0,11,31
M10,M10-trial04,4,M10-B012,single_agent,Single agent,0.8636363636363636,0.9032258064516129,0.06451612903225806,0.06451612903225806,0.0,11,31
M10,M10-trial01,1,M10-B013,independent_ensemble,Independent ensemble,0.9318181818181818,0.9354838709677419,0.03225806451612903,0.03225806451612903,0.0,11,31
M10,M10-trial02,2,M10-B014,critic_debate,Critic debate,0.9090909090909091,0.9354838709677419,0.03225806451612903,0.03225806451612903,0.0,11,31
M10,M10-trial01,1,M10-B015,normal_debate,Normal debate,0.8636363636363636,0.9032258064516129,0.03225806451612903,0.03225806451612903,0.0,11,31
M10,M10-trial02,2,M10-B016,independent_ensemble,Independent ensemble,0.8863636363636364,0.9032258064516129,0.06451612903225806,0.06451612903225806,0.0,11,31
M11,M11-trial03,3,M11-B001,single_agent,Single agent,0.8027777777777777,0.7878787878787878,0.030303030303030304,0.030303030303030304,0.0,12,33
M11,M11-trial02,2,M11-B002,single_agent,Single agent,0.7611111111111111,0.7575757575757576,0.0,0.0,0.0,12,33
M11,M11-trial04,4,M11-B003,normal_debate,Normal debate,0.7819444444444444,0.7878787878787878,0.15151515151515152,0.15151515151515152,0.0,12,33
M11,M11-trial03,3,M11-B004,critic_debate,Critic debate,0.8097222222222222,0.8181818181818182,0.06060606060606061,0.06060606060606061,0.0,12,33
M11,M11-trial03,3,M11-B005,normal_debate,Normal debate,0.9097222222222222,0.9090909090909091,0.030303030303030304,0.030303030303030304,0.0,12,33
M11,M11-trial02,2,M11-B006,independent_ensemble,Independent ensemble,0.9097222222222222,0.9090909090909091,0.0,0.0,0.0,12,33
M11,M11-trial03,3,M11-B007,independent_ensemble,Independent ensemble,0.7888888888888889,0.7878787878787878,0.0,0.0,0.0,12,33
M11,M11-trial01,1,M11-B008,normal_debate,Normal debate,0.8375,0.8484848484848485,0.030303030303030304,0.030303030303030304,0.0,12,33
M11,M11-trial04,4,M11-B009,critic_debate,Critic debate,0.9722222222222222,0.9696969696969697,0.030303030303030304,0.030303030303030304,0.0,12,33
M11,M11-trial02,2,M11-B010,normal_debate,Normal debate,0.8888888888888888,0.8787878787878788,0.06060606060606061,0.06060606060606061,0.0,12,33
M11,M11-trial02,2,M11-B011,critic_debate,Critic debate,0.7819444444444444,0.7878787878787878,0.09090909090909091,0.09090909090909091,0.0,12,33
M11,M11-trial04,4,M11-B012,single_agent,Single agent,0.8930555555555556,0.8787878787878788,0.0,0.0,0.0,12,33
M11,M11-trial01,1,M11-B013,single_agent,Single agent,0.8583333333333334,0.8484848484848485,0.0,0.0,0.0,12,33
M11,M11-trial01,1,M11-B014,critic_debate,Critic debate,0.8791666666666668,0.8787878787878788,0.06060606060606061,0.06060606060606061,0.0,12,33
M11,M11-trial04,4,M11-B015,independent_ensemble,Independent ensemble,0.8930555555555556,0.8484848484848485,0.12121212121212122,0.12121212121212122,0.0,12,33
M11,M11-trial01,1,M11-B016,independent_ensemble,Independent ensemble,0.8583333333333334,0.8484848484848485,0.0,0.0,0.0,12,33
